n,D
1000,8504
1000,11096
1000,8503
1000,9949
1000,11056
1000,8593
1000,10290
1000,10061
1000,9706
1000,10418
1000,9270
1000,10334
1000,10065
1000,8464
1000,9074
1000,9763
1000,10061
1000,12524
1000,14613
1000,12395
1000,8783
1000,9119
1000,10004
1000,9139
1000,9881
1000,11451
1000,13883
1000,10288
1000,10147
1000,10422
1000,11511
1000,10434
1000,8753
1000,9772
1000,10601
1000,10003
1000,10254
1000,10643
1000,9940
1000,9612
1000,10932
1000,12056
1000,11723
1000,9195
1000,10933
1000,10819
1000,9862
1000,11961
1000,8711
1000,8192
2000,21152
2000,22199
2000,20927
2000,20578
2000,21653
2000,17113
2000,19758
2000,22606
2000,17532
2000,23250
2000,18157
2000,17212
2000,21748
2000,22970
2000,18934
2000,21755
2000,20385
2000,24343
2000,14785
2000,24073
2000,21340
2000,20203
2000,18735
2000,18503
2000,23048
2000,21912
2000,19050
2000,17760
2000,17584
2000,27355
2000,23900
2000,17846
2000,20469
2000,19267
2000,23266
2000,19915
2000,17933
2000,23518
2000,21144
2000,16708
2000,19929
2000,19433
2000,20063
2000,22158
2000,20910
2000,16839
2000,23501
2000,26984
2000,18329
2000,16898
3000,35818
3000,30811
3000,28830
3000,30793
3000,40325
3000,41290
3000,30120
3000,28980
3000,29963
3000,35729
3000,30959
3000,29582
3000,36804
3000,31662
3000,30259
3000,27904
3000,35306
3000,38434
3000,30561
3000,34810
3000,29130
3000,31308
3000,29627
3000,37732
3000,30539
3000,37450
3000,33172
3000,30589
3000,28805
3000,40420
3000,33073
3000,30134
3000,40899
3000,35616
3000,34398
3000,30402
3000,32038
3000,33294
3000,44378
3000,39584
3000,52046
3000,34020
3000,31971
3000,28560
3000,40737
3000,35006
3000,29275
3000,32081
3000,32104
3000,34859
4000,39370
4000,41390
4000,46446
4000,48056
4000,52011
4000,47646
4000,38665
4000,48112
4000,47084
4000,46036
4000,48328
4000,43967
4000,39299
4000,44816
4000,39195
4000,37776
4000,46935
4000,46161
4000,48779
4000,54137
4000,40081
4000,49299
4000,51077
4000,51567
4000,46977
4000,39390
4000,43730
4000,45060
4000,39599
4000,49610
4000,52299
4000,50049
4000,46840
4000,41963
4000,38155
4000,46045
4000,39077
4000,52929
4000,45818
4000,42243
4000,47309
4000,37068
4000,57544
4000,46945
4000,44961
4000,39382
4000,39553
4000,41548
4000,43294
4000,40929
5000,76159
5000,66686
5000,52282
5000,49576
5000,49071
5000,59639
5000,58196
5000,56024
5000,62965
5000,64104
5000,62674
5000,55792
5000,64773
5000,60595
5000,56065
5000,67358
5000,59073
5000,52623
5000,53856
5000,50365
5000,52074
5000,48008
5000,51950
5000,68901
5000,65770
5000,57121
5000,60016
5000,64807
5000,50120
5000,58280
5000,54590
5000,56393
5000,54496
5000,47347
5000,63111
5000,42352
5000,62905
5000,51719
5000,50702
5000,54312
5000,63954
5000,52718
5000,50949
5000,57128
5000,60341
5000,50753
5000,64970
5000,61770
5000,57809
5000,56245
6000,64955
6000,84991
6000,75968
6000,65660
6000,65484
6000,69435
6000,66752
6000,67126
6000,68555
6000,73780
6000,67308
6000,60347
6000,69421
6000,71822
6000,71626
6000,70008
6000,76299
6000,65333
6000,63967
6000,74547
6000,69752
6000,75391
6000,66834
6000,61732
6000,81129
6000,74707
6000,64731
6000,72309
6000,73474
6000,74597
6000,65461
6000,77988
6000,67659
6000,69932
6000,90099
6000,83463
6000,84686
6000,63127
6000,66406
6000,72129
6000,68982
6000,66484
6000,66806
6000,74877
6000,69069
6000,65587
6000,68615
6000,68315
6000,64151
6000,77236
7000,91142
7000,83431
7000,114606
7000,78564
7000,80200
7000,83905
7000,87654
7000,126818
7000,89770
7000,101041
7000,88974
7000,91456
7000,87021
7000,83906
7000,80749
7000,130802
7000,95231
7000,77053
7000,103456
7000,83500
7000,84466
7000,88173
7000,72648
7000,78930
7000,75742
7000,102837
7000,79836
7000,92644
7000,83136
7000,98725
7000,76186
7000,76749
7000,81889
7000,73190
7000,88439
7000,100213
7000,88244
7000,92607
7000,74294
7000,83712
7000,65879
7000,85094
7000,94965
7000,88880
7000,90776
7000,78453
7000,94994
7000,85200
7000,77592
7000,72122
8000,107295
8000,93071
8000,91675
8000,93005
8000,92374
8000,84938
8000,93725
8000,123459
8000,91504
8000,92465
8000,134151
8000,91200
8000,96063
8000,108907
8000,111352
8000,109545
8000,88596
8000,92165
8000,98850
8000,108508
8000,86941
8000,102785
8000,86947
8000,91819
8000,95477
8000,101789
8000,100192
8000,87364
8000,124132
8000,89403
8000,116357
8000,95316
8000,80953
8000,90051
8000,86505
8000,107531
8000,88259
8000,105451
8000,98470
8000,102854
8000,102477
8000,88054
8000,100804
8000,91811
8000,112780
8000,87041
8000,89327
8000,94494
8000,85862
8000,97129
9000,101725
9000,105614
9000,125131
9000,102749
9000,120844
9000,114412
9000,97154
9000,114261
9000,102341
9000,105380
9000,115023
9000,105467
9000,103291
9000,106405
9000,97146
9000,114594
9000,130119
9000,126530
9000,157648
9000,99244
9000,103732
9000,95190
9000,139894
9000,107336
9000,120332
9000,91975
9000,163801
9000,116787
9000,142566
9000,96303
9000,118705
9000,94149
9000,104823
9000,108939
9000,120152
9000,100438
9000,113743
9000,118507
9000,101043
9000,103519
9000,119940
9000,117603
9000,93499
9000,102694
9000,103057
9000,101498
9000,120938
9000,90608
9000,102215
9000,105274
10000,116416
10000,117790
10000,106920
10000,117855
10000,116072
10000,117206
10000,135038
10000,113569
10000,114616
10000,120147
10000,148422
10000,117067
10000,123904
10000,128739
10000,124774
10000,114520
10000,126513
10000,117982
10000,147817
10000,108861
10000,123647
10000,101897
10000,117081
10000,124949
10000,148224
10000,119605
10000,103106
10000,123992
10000,113286
10000,130342
10000,146069
10000,121531
10000,119942
10000,109694
10000,126126
10000,117260
10000,119204
10000,127515
10000,116928
10000,104825
10000,108019
10000,112637
10000,116205
10000,118970
10000,126697
10000,126772
10000,109002
10000,113077
10000,148641
10000,116392
11000,156093
11000,157190
11000,132364
11000,137489
11000,140995
11000,126242
11000,163379
11000,139903
11000,114953
11000,144275
11000,161441
11000,130517
11000,156240
11000,129993
11000,133963
11000,127093
11000,124088
11000,141347
11000,131920
11000,132303
11000,136546
11000,131381
11000,157137
11000,125003
11000,125848
11000,128510
11000,157338
11000,125098
11000,126715
11000,129364
11000,134371
11000,118540
11000,129029
11000,132784
11000,196463
11000,136131
11000,131738
11000,142338
11000,130628
11000,147023
11000,132022
11000,140778
11000,132714
11000,118462
11000,116998
11000,154983
11000,125100
11000,131658
11000,130979
11000,113973
12000,151779
12000,128190
12000,158923
12000,171349
12000,132169
12000,166247
12000,143905
12000,129057
12000,129066
12000,166006
12000,136412
12000,138878
12000,145364
12000,164231
12000,129049
12000,142100
12000,155655
12000,138407
12000,135987
12000,130897
12000,145925
12000,147785
12000,161007
12000,142851
12000,162863
12000,134991
12000,214277
12000,127126
12000,138540
12000,162501
12000,140465
12000,144426
12000,181538
12000,134661
12000,157832
12000,147898
12000,135462
12000,157892
12000,144970
12000,155155
12000,153019
12000,153441
12000,150288
12000,146673
12000,160127
12000,145089
12000,158045
12000,149227
12000,133851
12000,139301
13000,158670
13000,159435
13000,170629
13000,160478
13000,181837
13000,164435
13000,156511
13000,153069
13000,152895
13000,152329
13000,159734
13000,185783
13000,162285
13000,157566
13000,205995
13000,166207
13000,155827
13000,191355
13000,167080
13000,158791
13000,174333
13000,147450
13000,165379
13000,158103
13000,177578
13000,142036
13000,179643
13000,165314
13000,175545
13000,176160
13000,170101
13000,144751
13000,144012
13000,147546
13000,174798
13000,150112
13000,144454
13000,163897
13000,148309
13000,155614
13000,157792
13000,172075
13000,160800
13000,184657
13000,164883
13000,152758
13000,145886
13000,163108
13000,168771
13000,167467
14000,176866
14000,192762
14000,180612
14000,155664
14000,185168
14000,234359
14000,178501
14000,190489
14000,177839
14000,164242
14000,183043
14000,165436
14000,171823
14000,175248
14000,156088
14000,211758
14000,206617
14000,169595
14000,188438
14000,194963
14000,181884
14000,166792
14000,171677
14000,178720
14000,161179
14000,170322
14000,161687
14000,186560
14000,150687
14000,178196
14000,164382
14000,186442
14000,165100
14000,170370
14000,182390
14000,190883
14000,151757
14000,177020
14000,202322
14000,151752
14000,209151
14000,172343
14000,173666
14000,170192
14000,165099
14000,193343
14000,196687
14000,159647
14000,191859
14000,187046
15000,192005
15000,197359
15000,167233
15000,217453
15000,170022
15000,195724
15000,187852
15000,179500
15000,176623
15000,209262
15000,186972
15000,178157
15000,180925
15000,184556
15000,184821
15000,239003
15000,197573
15000,228460
15000,171581
15000,198847
15000,176090
15000,208373
15000,219074
15000,193704
15000,187289
15000,191175
15000,180395
15000,169011
15000,211043
15000,189409
15000,213033
15000,222335
15000,169363
15000,190496
15000,159859
15000,165586
15000,219571
15000,196864
15000,186333
15000,159848
15000,190355
15000,156615
15000,171110
15000,204395
15000,203261
15000,195560
15000,242041
15000,196342
15000,167203
15000,172439
16000,231666
16000,226004
16000,203739
16000,169466
16000,209347
16000,240915
16000,176255
16000,205084
16000,197040
16000,212968
16000,220587
16000,226550
16000,188306
16000,208359
16000,195425
16000,182995
16000,234015
16000,194456
16000,223543
16000,200699
16000,210809
16000,204086
16000,194604
16000,192227
16000,223347
16000,202022
16000,228820
16000,212068
16000,231837
16000,209596
16000,238755
16000,162420
16000,209979
16000,233616
16000,199388
16000,191195
16000,216501
16000,197839
16000,211273
16000,332707
16000,176176
16000,197000
16000,170248
16000,217110
16000,256212
16000,242221
16000,178919
16000,187696
16000,192405
16000,218583
17000,228632
17000,248882
17000,227986
17000,243173
17000,249252
17000,220202
17000,228363
17000,242809
17000,217508
17000,208027
17000,227017
17000,210895
17000,194719
17000,231813
17000,220191
17000,209421
17000,223492
17000,224965
17000,248414
17000,219949
17000,194141
17000,224532
17000,201059
17000,205068
17000,238414
17000,184911
17000,244512
17000,234792
17000,225221
17000,224910
17000,200899
17000,200307
17000,207474
17000,210583
17000,241630
17000,206119
17000,214536
17000,255787
17000,218865
17000,258068
17000,287806
17000,225359
17000,220796
17000,204229
17000,223246
17000,195555
17000,206702
17000,191202
17000,181112
17000,227717
18000,221815
18000,223657
18000,222038
18000,205940
18000,220837
18000,229287
18000,280848
18000,185366
18000,219186
18000,264659
18000,209284
18000,220135
18000,314465
18000,253694
18000,220194
18000,214537
18000,242291
18000,234119
18000,206107
18000,236309
18000,220058
18000,230913
18000,213700
18000,248449
18000,261925
18000,246084
18000,233988
18000,279804
18000,214840
18000,223162
18000,287236
18000,259941
18000,212601
18000,231053
18000,250423
18000,213195
18000,211732
18000,216267
18000,224590
18000,202234
18000,234897
18000,238834
18000,261877
18000,206909
18000,194515
18000,204256
18000,216322
18000,242721
18000,251009
18000,215436
19000,266528
19000,235475
19000,291632
19000,247015
19000,264215
19000,260009
19000,240955
19000,290455
19000,299201
19000,287007
19000,229802
19000,253044
19000,223644
19000,245390
19000,276823
19000,238168
19000,218698
19000,229641
19000,206496
19000,237690
19000,268249
19000,247047
19000,220366
19000,229109
19000,216570
19000,246050
19000,253848
19000,237767
19000,268578
19000,251966
19000,257089
19000,277653
19000,251193
19000,225983
19000,198848
19000,248313
19000,247957
19000,235899
19000,249287
19000,313909
19000,248760
19000,245636
19000,250974
19000,214982
19000,254016
19000,268717
19000,275507
19000,236815
19000,220880
19000,234386
20000,254944
20000,262561
20000,258204
20000,283815
20000,242622
20000,284077
20000,280366
20000,264459
20000,253531
20000,251595
20000,245655
20000,271594
20000,261179
20000,239221
20000,267307
20000,270407
20000,245881
20000,326884
20000,232791
20000,278739
20000,227058
20000,245609
20000,278035
20000,249158
20000,286620
20000,262686
20000,250403
20000,254471
20000,258067
20000,264586
20000,264906
20000,279561
20000,247470
20000,241576
20000,261198
20000,272881
20000,244153
20000,286053
20000,236936
20000,284268
20000,262514
20000,298235
20000,275477
20000,250287
20000,244607
20000,255719
20000,283778
20000,229513
20000,247654
20000,349840
21000,276394
21000,273268
21000,351443
21000,271800
21000,247629
21000,303960
21000,249802
21000,279573
21000,260613
21000,271275
21000,344302
21000,292013
21000,238677
21000,278584
21000,286664
21000,286747
21000,267153
21000,250503
21000,270632
21000,334276
21000,296682
21000,244511
21000,265551
21000,379449
21000,284645
21000,270491
21000,296552
21000,246073
21000,257101
21000,256148
21000,274936
21000,316332
21000,261723
21000,265912
21000,271598
21000,340832
21000,272243
21000,256821
21000,298943
21000,329597
21000,323166
21000,272842
21000,344303
21000,251437
21000,254115
21000,266296
21000,406143
21000,318604
21000,266843
21000,286445
22000,278963
22000,373121
22000,289581
22000,365294
22000,276016
22000,307868
22000,277430
22000,282846
22000,264257
22000,319524
22000,309472
22000,309249
22000,256945
22000,318009
22000,252889
22000,323968
22000,287340
22000,363135
22000,306306
22000,304979
22000,337326
22000,385691
22000,300954
22000,314533
22000,273872
22000,276483
22000,301968
22000,316333
22000,304504
22000,260305
22000,352436
22000,297866
22000,258412
22000,337710
22000,275249
22000,280378
22000,267254
22000,258713
22000,276381
22000,243673
22000,284961
22000,279893
22000,279593
22000,278911
22000,268811
22000,236031
22000,287142
22000,317425
22000,282125
22000,257776
23000,286708
23000,292836
23000,300113
23000,266991
23000,281378
23000,288333
23000,337543
23000,281586
23000,270452
23000,269184
23000,294368
23000,305684
23000,278852
23000,261402
23000,314816
23000,310494
23000,308049
23000,314627
23000,251141
23000,306596
23000,319508
23000,308764
23000,336841
23000,309453
23000,355336
23000,279246
23000,322730
23000,274732
23000,304572
23000,304468
23000,314511
23000,370448
23000,295772
23000,316344
23000,409784
23000,296804
23000,341055
23000,356475
23000,277716
23000,309135
23000,247609
23000,301278
23000,301472
23000,317672
23000,292177
23000,280369
23000,288677
23000,328770
23000,340137
23000,369260
24000,327502
24000,334237
24000,315960
24000,356045
24000,339573
24000,324295
24000,331159
24000,304492
24000,279523
24000,300608
24000,336421
24000,353569
24000,300043
24000,286709
24000,300155
24000,344886
24000,331904
24000,326527
24000,335835
24000,266937
24000,315795
24000,283350
24000,387616
24000,377685
24000,297646
24000,323710
24000,312524
24000,337037
24000,333572
24000,340930
24000,275030
24000,281710
24000,336924
24000,451053
24000,378698
24000,351477
24000,421966
24000,277737
24000,282837
24000,303432
24000,341961
24000,392989
24000,352228
24000,291362
24000,281592
24000,316993
24000,305343
24000,327602
24000,357472
24000,333676
25000,309015
25000,333053
25000,382212
25000,290228
25000,368178
25000,295367
25000,333687
25000,294524
25000,333131
25000,311266
25000,313328
25000,355745
25000,328503
25000,305203
25000,422074
25000,353466
25000,348224
25000,321257
25000,340091
25000,402351
25000,291152
25000,327508
25000,372035
25000,326753
25000,343925
25000,362751
25000,308790
25000,353438
25000,301452
25000,369644
25000,333340
25000,336872
25000,327323
25000,317192
25000,338815
25000,299761
25000,320949
25000,325666
25000,340620
25000,336324
25000,303698
25000,293499
25000,328182
25000,280499
25000,318998
25000,306514
25000,318483
25000,284517
25000,346919
25000,375712
26000,308885
26000,390350
26000,304045
26000,317364
26000,339597
26000,350018
26000,299382
26000,313658
26000,378830
26000,315894
26000,329200
26000,301190
26000,340210
26000,375291
26000,283593
26000,403154
26000,341613
26000,295457
26000,301704
26000,360432
26000,369539
26000,343814
26000,354999
26000,316574
26000,464721
26000,315301
26000,352421
26000,335559
26000,356134
26000,364466
26000,397890
26000,328072
26000,327491
26000,334139
26000,322434
26000,350608
26000,316238
26000,340689
26000,300942
26000,349670
26000,306868
26000,361902
26000,379161
26000,294770
26000,329976
26000,459728
26000,325822
26000,353279
26000,346282
26000,326503
27000,378991
27000,347780
27000,463457
27000,374960
27000,375598
27000,299224
27000,311738
27000,329606
27000,332411
27000,355045
27000,329995
27000,349152
27000,336253
27000,314521
27000,337319
27000,355202
27000,331005
27000,370842
27000,420824
27000,390463
27000,354098
27000,396854
27000,348387
27000,359730
27000,343846
27000,316464
27000,366967
27000,325266
27000,329485
27000,399727
27000,388386
27000,347942
27000,379262
27000,314318
27000,392929
27000,327753
27000,337269
27000,323199
27000,402582
27000,354843
27000,330300
27000,305206
27000,381509
27000,360839
27000,373420
27000,334409
27000,461508
27000,343667
27000,407589
27000,304458
28000,359897
28000,327981
28000,427364
28000,359013
28000,361723
28000,395597
28000,384842
28000,438794
28000,355834
28000,383514
28000,328949
28000,361382
28000,355789
28000,318013
28000,389249
28000,391942
28000,403014
28000,354429
28000,532387
28000,386827
28000,318339
28000,461256
28000,443143
28000,347688
28000,389533
28000,375366
28000,340111
28000,375495
28000,344872
28000,420955
28000,397549
28000,368589
28000,410846
28000,367786
28000,377428
28000,427382
28000,381714
28000,319905
28000,354770
28000,380057
28000,417466
28000,426868
28000,380290
28000,356556
28000,441183
28000,343455
28000,366712
28000,358370
28000,358052
28000,346657
29000,409117
29000,378208
29000,420732
29000,397787
29000,395405
29000,367464
29000,390707
29000,463334
29000,408304
29000,471165
29000,387493
29000,332038
29000,424235
29000,392146
29000,408750
29000,417451
29000,367845
29000,512196
29000,445079
29000,356831
29000,416211
29000,344151
29000,340793
29000,380947
29000,386976
29000,396920
29000,447084
29000,329482
29000,392423
29000,353413
29000,383838
29000,344859
29000,380372
29000,416547
29000,464327
29000,369966
29000,390658
29000,432422
29000,360609
29000,399109
29000,377107
29000,329042
29000,386341
29000,407318
29000,374912
29000,348685
29000,485185
29000,402947
29000,381974
29000,351717
30000,381461
30000,383230
30000,414018
30000,438933
30000,467610
30000,446339
30000,448778
30000,444831
30000,455134
30000,377638
30000,455609
30000,380052
30000,371582
30000,394854
30000,393893
30000,420077
30000,440211
30000,401860
30000,412373
30000,423095
30000,405166
30000,437342
30000,415080
30000,411251
30000,368862
30000,393387
30000,390939
30000,368516
30000,453698
30000,426419
30000,401703
30000,372955
30000,366124
30000,387298
30000,433299
30000,423636
30000,453291
30000,348836
30000,348523
30000,405205
30000,366884
30000,403317
30000,444947
30000,445562
30000,399954
30000,368792
30000,377451
30000,353601
30000,438656
30000,358337
31000,439208
31000,484124
31000,402811
31000,400856
31000,364134
31000,424391
31000,455737
31000,394057
31000,468729
31000,449868
31000,407836
31000,396726
31000,411742
31000,380713
31000,428472
31000,420394
31000,384244
31000,465236
31000,415078
31000,410113
31000,411548
31000,420272
31000,447618
31000,423900
31000,395129
31000,372621
31000,384970
31000,421693
31000,403669
31000,388384
31000,385564
31000,401678
31000,460765
31000,408296
31000,401263
31000,416812
31000,397305
31000,430062
31000,404697
31000,407513
31000,451836
31000,459284
31000,377134
31000,385542
31000,414972
31000,406075
31000,505796
31000,493315
31000,455705
31000,537604
32000,499724
32000,379586
32000,408167
32000,417407
32000,511580
32000,481962
32000,426684
32000,426732
32000,472943
32000,439863
32000,433683
32000,439675
32000,481917
32000,403262
32000,386784
32000,487310
32000,416667
32000,478650
32000,473609
32000,429138
32000,437638
32000,407708
32000,416487
32000,407512
32000,433416
32000,393172
32000,438030
32000,447397
32000,423568
32000,380153
32000,427141
32000,395784
32000,402398
32000,446684
32000,416003
32000,420657
32000,482646
32000,495918
32000,394859
32000,455026
32000,426896
32000,378815
32000,399781
32000,388294
32000,428626
32000,484441
32000,471347
32000,428645
32000,474667
32000,404688
33000,399127
33000,427048
33000,420096
33000,401518
33000,392129
33000,406345
33000,544575
33000,448977
33000,423027
33000,381688
33000,442368
33000,428871
33000,429903
33000,407876
33000,430397
33000,450547
33000,431592
33000,528263
33000,477145
33000,484067
33000,424062
33000,500857
33000,483599
33000,428107
33000,532610
33000,414069
33000,509880
33000,437781
33000,491080
33000,594057
33000,503398
33000,487127
33000,481538
33000,582022
33000,468629
33000,401693
33000,439308
33000,407455
33000,412386
33000,456449
33000,446636
33000,469965
33000,467631
33000,485761
33000,450528
33000,496407
33000,419834
33000,506794
33000,392092
33000,450386
34000,534824
34000,474595
34000,451094
34000,434259
34000,493435
34000,514419
34000,442209
34000,449735
34000,443592
34000,464606
34000,380048
34000,440845
34000,468307
34000,426412
34000,541355
34000,393273
34000,382986
34000,384578
34000,584703
34000,440434
34000,420223
34000,442466
34000,443248
34000,543331
34000,516140
34000,472400
34000,519764
34000,459754
34000,456931
34000,434876
34000,502405
34000,396811
34000,433549
34000,443143
34000,429317
34000,454204
34000,530877
34000,466173
34000,469802
34000,538436
34000,429191
34000,514336
34000,525890
34000,433398
34000,509744
34000,419342
34000,530583
34000,573597
34000,561014
34000,422203
35000,486016
35000,517930
35000,425848
35000,473626
35000,430388
35000,444099
35000,446258
35000,440448
35000,551982
35000,406373
35000,479252
35000,538892
35000,501282
35000,519178
35000,528257
35000,487552
35000,464376
35000,480776
35000,486456
35000,430471
35000,505505
35000,426092
35000,462041
35000,403175
35000,414294
35000,514688
35000,463477
35000,532347
35000,471653
35000,419991
35000,623306
35000,492064
35000,546332
35000,434801
35000,425022
35000,409258
35000,415789
35000,572932
35000,475547
35000,471287
35000,415736
35000,447064
35000,425957
35000,492321
35000,497702
35000,490535
35000,466877
35000,480731
35000,452333
35000,487227
36000,521411
